Date,"Daily Reach by Language - af_ZA","Daily Reach by Language - ak_GH","Daily Reach by Language - am_ET","Daily Reach by Language - ar_AR","Daily Reach by Language - as_IN","Daily Reach by Language - az_AZ","Daily Reach by Language - bg_BG","Daily Reach by Language - bn_IN","Daily Reach by Language - bp_IN","Daily Reach by Language - bs_BA","Daily Reach by Language - ca_ES","Daily Reach by Language - cb_IQ","Daily Reach by Language - cs_CZ","Daily Reach by Language - cx_PH","Daily Reach by Language - cy_GB","Daily Reach by Language - da_DK","Daily Reach by Language - de_DE","Daily Reach by Language - el_GR","Daily Reach by Language - en_GB","Daily Reach by Language - en_IN","Daily Reach by Language - en_PI","Daily Reach by Language - en_UD","Daily Reach by Language - en_US","Daily Reach by Language - eo_EO","Daily Reach by Language - es_ES","Daily Reach by Language - es_LA","Daily Reach by Language - es_MX","Daily Reach by Language - et_EE","Daily Reach by Language - eu_ES","Daily Reach by Language - fa_IR","Daily Reach by Language - fb_LT","Daily Reach by Language - fi_FI","Daily Reach by Language - fo_FO","Daily Reach by Language - fr_CA","Daily Reach by Language - fr_FR","Daily Reach by Language - gl_ES","Daily Reach by Language - gu_IN","Daily Reach by Language - ha_NG","Daily Reach by Language - he_IL","Daily Reach by Language - hi_IN","Daily Reach by Language - hr_HR","Daily Reach by Language - ht_HT","Daily Reach by Language - hu_HU","Daily Reach by Language - id_ID","Daily Reach by Language - is_IS","Daily Reach by Language - it_IT","Daily Reach by Language - ja_JP","Daily Reach by Language - ja_KS","Daily Reach by Language - jv_ID","Daily Reach by Language - ka_GE","Daily Reach by Language - kn_IN","Daily Reach by Language - ko_KR","Daily Reach by Language - ku_TR","Daily Reach by Language - lg_UG","Daily Reach by Language - lt_LT","Daily Reach by Language - lv_LV","Daily Reach by Language - mg_MG","Daily Reach by Language - mi_NZ","Daily Reach by Language - mk_MK","Daily Reach by Language - ml_IN","Daily Reach by Language - mr_IN","Daily Reach by Language - ms_MY","Daily Reach by Language - my_MM","Daily Reach by Language - nb_NO","Daily Reach by Language - ne_NP","Daily Reach by Language - nl_BE","Daily Reach by Language - nl_NL","Daily Reach by Language - nn_NO","Daily Reach by Language - or_IN","Daily Reach by Language - pa_IN","Daily Reach by Language - pl_PL","Daily Reach by Language - ps_AF","Daily Reach by Language - pt_BR","Daily Reach by Language - pt_PT","Daily Reach by Language - ro_RO","Daily Reach by Language - ru_RU","Daily Reach by Language - rw_RW","Daily Reach by Language - si_LK","Daily Reach by Language - sk_SK","Daily Reach by Language - sl_SI","Daily Reach by Language - so_SO","Daily Reach by Language - sq_AL","Daily Reach by Language - sr_RS","Daily Reach by Language - sv_SE","Daily Reach by Language - sw_KE","Daily Reach by Language - sz_PL","Daily Reach by Language - ta_IN","Daily Reach by Language - te_IN","Daily Reach by Language - th_TH","Daily Reach by Language - tl_PH","Daily Reach by Language - tr_TR","Daily Reach by Language - tz_MA","Daily Reach by Language - uk_UA","Daily Reach by Language - ur_PK","Daily Reach by Language - vi_VN","Daily Reach by Language - zh_CN","Daily Reach by Language - zh_HK","Daily Reach by Language - zh_TW","Lifetime Likes by Language - af_ZA","Lifetime Likes by Language - ar_AR","Lifetime Likes by Language - as_IN","Lifetime Likes by Language - az_AZ","Lifetime Likes by Language - bg_BG","Lifetime Likes by Language - bn_IN","Lifetime Likes by Language - ca_ES","Lifetime Likes by Language - cb_IQ","Lifetime Likes by Language - cs_CZ","Lifetime Likes by Language - da_DK","Lifetime Likes by Language - de_DE","Lifetime Likes by Language - el_GR","Lifetime Likes by Language - en_GB","Lifetime Likes by Language - en_IN","Lifetime Likes by Language - en_PI","Lifetime Likes by Language - en_US","Lifetime Likes by Language - es_ES","Lifetime Likes by Language - es_LA","Lifetime Likes by Language - es_MX","Lifetime Likes by Language - fa_IR","Lifetime Likes by Language - fr_CA","Lifetime Likes by Language - fr_FR","Lifetime Likes by Language - gu_IN","Lifetime Likes by Language - hi_IN","Lifetime Likes by Language - hr_HR","Lifetime Likes by Language - hu_HU","Lifetime Likes by Language - id_ID","Lifetime Likes by Language - it_IT","Lifetime Likes by Language - jv_ID","Lifetime Likes by Language - ka_GE","Lifetime Likes by Language - ko_KR","Lifetime Likes by Language - ku_TR","Lifetime Likes by Language - lv_LV","Lifetime Likes by Language - mr_IN","Lifetime Likes by Language - ms_MY","Lifetime Likes by Language - ne_NP","Lifetime Likes by Language - nl_NL","Lifetime Likes by Language - pa_IN","Lifetime Likes by Language - pl_PL","Lifetime Likes by Language - ps_AF","Lifetime Likes by Language - pt_BR","Lifetime Likes by Language - pt_PT","Lifetime Likes by Language - ro_RO","Lifetime Likes by Language - ru_RU","Lifetime Likes by Language - sl_SI","Lifetime Likes by Language - so_SO","Lifetime Likes by Language - sq_AL","Lifetime Likes by Language - sr_RS","Lifetime Likes by Language - sw_KE","Lifetime Likes by Language - ta_IN","Lifetime Likes by Language - te_IN","Lifetime Likes by Language - th_TH","Lifetime Likes by Language - tl_PH","Lifetime Likes by Language - tr_TR","Lifetime Likes by Language - tz_MA","Lifetime Likes by Language - ur_PK","Lifetime Likes by Language - vi_VN","Lifetime Likes by Language - zh_TW","Lifetime Follows by Language - af_ZA","Lifetime Follows by Language - ar_AR","Lifetime Follows by Language - as_IN","Lifetime Follows by Language - az_AZ","Lifetime Follows by Language - bg_BG","Lifetime Follows by Language - bn_IN","Lifetime Follows by Language - ca_ES","Lifetime Follows by Language - cb_IQ","Lifetime Follows by Language - cs_CZ","Lifetime Follows by Language - da_DK","Lifetime Follows by Language - de_DE","Lifetime Follows by Language - el_GR","Lifetime Follows by Language - en_GB","Lifetime Follows by Language - en_IN","Lifetime Follows by Language - en_PI","Lifetime Follows by Language - en_US","Lifetime Follows by Language - es_ES","Lifetime Follows by Language - es_LA","Lifetime Follows by Language - es_MX","Lifetime Follows by Language - fa_IR","Lifetime Follows by Language - fr_CA","Lifetime Follows by Language - fr_FR","Lifetime Follows by Language - gu_IN","Lifetime Follows by Language - hi_IN","Lifetime Follows by Language - hr_HR","Lifetime Follows by Language - hu_HU","Lifetime Follows by Language - id_ID","Lifetime Follows by Language - it_IT","Lifetime Follows by Language - jv_ID","Lifetime Follows by Language - ka_GE","Lifetime Follows by Language - ko_KR","Lifetime Follows by Language - ku_TR","Lifetime Follows by Language - lv_LV","Lifetime Follows by Language - mr_IN","Lifetime Follows by Language - ms_MY","Lifetime Follows by Language - nl_NL","Lifetime Follows by Language - pa_IN","Lifetime Follows by Language - pl_PL","Lifetime Follows by Language - ps_AF","Lifetime Follows by Language - pt_BR","Lifetime Follows by Language - pt_PT","Lifetime Follows by Language - ro_RO","Lifetime Follows by Language - ru_RU","Lifetime Follows by Language - sl_SI","Lifetime Follows by Language - so_SO","Lifetime Follows by Language - sq_AL","Lifetime Follows by Language - sr_RS","Lifetime Follows by Language - sw_KE","Lifetime Follows by Language - ta_IN","Lifetime Follows by Language - te_IN","Lifetime Follows by Language - th_TH","Lifetime Follows by Language - tl_PH","Lifetime Follows by Language - tr_TR","Lifetime Follows by Language - tz_MA","Lifetime Follows by Language - ur_PK","Lifetime Follows by Language - vi_VN","Lifetime Follows by Language - zh_TW"
,"Daily: Total Page Reach by user selected language. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Aggregated language data about the people who like your Page based on the default language setting selected when accessing Facebook. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: Aggregated language data about the people who follow your Page based on the default language setting selected when accessing Facebook. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-08,1,,,650,1,,,27,,,,,,,,1,13,,1374,1,,1,2158,,3,2,,,,4,,,,1,7,,,,,8,,,,58,,1,,,,,,,,,,,,,,6,,4,,,1,,2,,,,2,1,2,,3,,1,,,,1,,,1,,,2,,4,5,19,,,32,1,,,,,570,,,2,2,,1,,2,11,1,749,3,1,1329,7,28,,,,91,,11,,1,144,5,,,,,1,,6,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,1,,2,11,1,766,3,1,1369,7,28,,,,91,,11,,1,143,5,,,,,1,,6,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-09,,,,20,,,1,2,,,,,,,,1,18,,434,2,,1,902,,3,7,,,,1,,1,,,7,,1,,,10,,,1,111,,2,4,1,,,,4,,,,,,,1,,1,1,1,1,1,,2,,,,,,13,1,1,2,,,,,,,,1,,,5,1,4,1,4,,1,1,,1,,5,,570,,,2,2,,1,,2,12,1,749,3,1,1329,7,28,,,,91,,11,,1,144,5,,,,,1,,6,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,1,,2,12,1,766,3,1,1369,7,28,,,,91,,11,,1,143,5,,,,,1,,6,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-10,,,,126,,,2,8,,,,,8,,,10,41,8,2533,15,,,5316,,21,68,1,,,,,1,,,67,,3,,,30,,,4,629,,23,18,,2,,,26,,,,,1,,,,9,9,5,2,2,,11,,,,2,,137,10,12,11,,,,,,,,4,,,8,3,41,2,13,,,,12,16,5,27,,570,,,2,2,,1,,2,12,1,748,3,1,1331,7,28,,,,91,,11,,1,144,5,,,,,1,,6,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,1,,2,12,1,765,3,1,1371,7,28,,,,91,,11,,1,143,5,,,,,1,,6,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-11,,,,276,,,9,14,,,,,7,,,9,54,16,5160,24,,,9564,,39,90,,,,,,6,,5,111,,8,,,63,,,8,1158,,42,13,,,,,30,,,4,,,,,5,15,21,8,7,,,20,,,,6,,195,26,26,16,,,5,,,,,4,,,15,4,66,,31,,,5,16,21,7,35,,570,,,2,2,,1,,2,13,1,747,3,1,1332,7,28,,,,91,,11,,1,143,5,1,,,,1,,6,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,,1,,2,13,1,764,3,1,1373,7,28,,,,91,,11,,1,142,5,1,,,,1,,6,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-12,,,,68,,,2,5,,,3,,4,,,2,39,4,3011,13,2,,4284,,16,39,,,,,1,,,2,46,,5,,,26,,,,347,,16,6,,,,2,15,,,,2,,,,2,5,10,1,4,,,15,,,,3,,41,5,6,7,,,,,,,,3,,,4,,24,2,20,,,4,8,9,,7,,570,,,2,2,,,,2,13,1,748,3,1,1334,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,,,,2,13,1,765,3,1,1376,7,28,,,,91,,11,,1,142,5,1,,,,1,,5,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-13,,,,31,,,1,2,,,,,,,1,1,27,2,1590,4,1,,1657,,8,12,,,,,,,,2,37,,1,,,17,1,1,,116,,5,1,,,,,,,,1,,,1,,1,1,4,,1,,,6,,,,2,,13,4,3,1,,,,,,,,2,,,,1,1,1,8,,,,,4,1,1,,569,,,2,2,,,,2,13,1,747,3,1,1335,7,28,,,,91,,11,,1,144,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,,,2,13,1,764,3,1,1377,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1
2017-10-14,,,1,14,,,3,2,,,1,,,,1,1,14,1,1017,2,1,1,1022,,2,7,,,,,,,,,12,,1,,,13,1,,,45,,2,,,,,,,,,,,,,,1,1,2,,2,,,2,,,1,,,9,,2,1,,,,,,,,1,,,,,,1,4,,,,1,,1,,,569,,,2,2,,,,2,13,1,748,3,1,1336,7,28,,,,91,,11,,1,144,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,,,2,13,1,765,3,1,1378,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1
2017-10-15,,,,21,,,,,,,,,1,,,,5,1,260,2,,,493,,,,,,,,,,,,2,,1,,,3,,,,29,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,,1,1,,,,,,,,1,,,1,,,,1,,,,,,,,,569,,,2,2,,,,2,13,1,747,3,1,1337,7,28,,,,91,,11,,1,144,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,,,2,13,1,764,3,1,1379,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1
2017-10-16,,,,58,,,1,2,,,,,,,,,7,,332,1,,,642,,1,1,,,,,,,,,2,,2,,,4,,,,48,,2,,,,,,,,,,,,,,2,1,1,,1,,,3,,,,,,8,,1,,,,,,,,,,,,1,,6,,2,,,,2,,,,,569,,,2,2,,,,2,13,1,749,3,1,1336,7,28,,,,91,,11,,1,144,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,,,,2,13,1,766,3,1,1378,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1
2017-10-17,,,,4,,,,,,,,,,,,,6,,60,,,,135,,3,,,,,,,,,,3,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,569,,,2,2,1,,,2,13,1,749,3,1,1335,7,28,,,,91,,11,,1,144,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,1,,,2,13,1,766,3,1,1377,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1
2017-10-18,,,,10,,,,,,,,,,,,,10,,128,,,,242,,2,2,,,,,,,,,10,,,,,1,,,,4,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,2,,3,5,,,,,,,,,,,,,,,1,,,,1,,,,,571,,,2,2,1,,,2,12,1,750,3,1,1336,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1379,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-19,,,,17,,,,1,,,,,,,,1,6,2,137,,,,353,,2,1,,,,,,,,,7,,,,,1,,,,13,,,,,,,,,,,,,,,,1,,1,,,,,2,,,1,,,2,1,1,5,,,,,,,,,,,,,,,,,,,1,,1,,,571,,,2,2,1,,,2,12,1,750,3,1,1335,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,1,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1378,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,1,,21,,2,1,3,3,1
2017-10-20,,,1,80,,,,2,,,,,,,,2,27,1,390,,,,910,,4,2,,,,,,,,,19,,,,,5,,,,19,,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,,2,,8,3,,,,,,,,1,,,1,,2,1,6,,,1,1,,3,,,571,,,2,2,1,,,2,12,1,750,3,1,1338,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1381,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-21,,,,22,,,,1,,,,,,,,,24,,176,2,,,438,,7,2,,,,,,,,1,30,,,,,2,,,,8,,1,1,,,,,,,,1,,,,,,,1,,1,,,4,,,,,,5,,3,2,,,,,,,,,,,,,1,,3,,,,3,,3,,,571,,,2,2,1,,,2,12,1,750,3,1,1339,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1382,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-22,,,,3,,,,,,,,,,,,,4,,114,,,,244,,2,,,,,,,,,,18,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,6,,,,2,,,,,,,,,,,1,,,,2,,,,,571,,,2,2,1,,,2,12,1,752,3,1,1340,7,27,,,,90,,10,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,769,3,1,1383,7,27,,,,90,,10,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-23,,,,,,,,,,,,,,,,,7,,71,,,,104,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,1,,,572,,,2,2,1,,,2,12,1,752,3,1,1337,7,27,,,,90,,10,,1,149,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,574,,,2,2,1,,,2,12,1,768,3,1,1381,7,27,,,,90,,10,,1,148,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-24,,,,32,,,,6,,,,,1,,,,3,,148,1,,,321,,3,2,,,,,,,,,7,,,,,2,,,,39,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,1,1,,,,,,,,1,1,,,,3,1,,,,,,,,,,571,,,2,2,1,,,2,12,1,751,3,1,1339,7,27,,,,90,,10,,1,149,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,768,3,1,1382,7,27,,,,90,,10,,1,148,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
