Date,"Daily Page Stories","Daily Total Impressions","Daily Total Reach","Daily Total Consumers","Daily Page Consumptions","Daily Post Engagements","Daily Page Engaged Users","Daily New Likes","Daily Unlikes","Daily New Follows","Daily Total Video Views","Daily Page Stories"
,"Daily: The number of stories created about your Page. (Total Count)","Daily: The number of impressions seen of any content associated with your Page. (Total Count)","Daily: The number of people who have seen any content associated with your Page. (Unique Users)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Daily: The number of times people have engaged with your posts through like, comments and shares and more.","Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users)","Daily: The number of new people who have liked your Page (Total Count)","Daily: The number of Unlikes of your Page (Total Count)","Daily: The number of new people who have followed your Page (Total Count)","Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)","Daily: The number of stories created about your Page. (Total Count)"
2017-10-08,69,4995,4532,608,1114,1179,624,4,,4,841,69
2017-10-09,21,2869,1599,48,77,96,56,1,,1,67,21
2017-10-10,49,16632,9398,18,39,87,53,1,,1,25,49
2017-10-11,157,34972,17566,96,161,313,192,3,2,5,30,157
2017-10-12,45,17952,8140,47,69,111,68,1,,2,40,45
2017-10-13,42,6179,3678,38,98,138,56,2,1,2,39,42
2017-10-14,9,4124,2115,11,33,40,17,2,,2,20,9
2017-10-15,22,2325,828,17,29,46,28,,,,25,22
2017-10-16,59,2765,1121,20,40,98,59,1,,1,12,59
2017-10-17,15,483,215,14,24,37,22,1,1,1,7,15
2017-10-18,53,1343,430,35,81,132,49,1,,1,38,53
2017-10-19,24,1095,551,44,70,94,56,,,,13,24
2017-10-20,113,3098,1501,117,256,366,147,2,,2,107,113
2017-10-21,76,1839,736,64,143,216,96,2,1,2,58,76
2017-10-22,23,968,395,27,56,77,36,2,,2,13,23
2017-10-23,12,404,195,15,37,49,19,,1,,24,12
2017-10-24,62,1200,588,39,79,138,74,1,1,1,19,62
2017-10-25,25,823,435,15,36,60,35,1,,1,122,25
2017-10-26,22,650,291,23,50,69,33,2,,1,96,22
2017-10-27,24,611,233,31,57,78,39,1,,1,38,24
2017-10-28,20,448,191,15,33,52,29,,2,,27,20
2017-10-29,22,717,264,19,64,86,28,,,,34,22
2017-10-30,42,848,454,20,45,83,47,1,1,1,27,42
2017-10-31,267,3668,2719,44,91,349,272,7,,8,28,267
2017-11-01,681,8849,7685,81,134,801,696,13,1,13,83,681
2017-11-02,619,8135,7541,85,146,754,658,9,3,10,62,619
2017-11-03,158,2540,1442,52,133,277,167,11,2,11,47,158
2017-11-04,140,2001,1297,61,95,226,190,9,2,9,28,140
2017-11-05,86,2621,1637,196,420,502,235,4,1,5,473,86
2017-11-06,385,11656,9777,1331,2273,2594,1558,63,,63,2137,385
2017-11-07,2598,5112,3329,353,621,881,2807,2337,5,2338,368,2598
2017-11-08,1393,12110,3493,119,307,485,1448,1211,15,1211,296,1393
2017-11-09,157,4134,2301,163,320,461,238,15,10,16,334,157
2017-11-10,172,3829,1907,78,176,346,163,2,5,2,252,172
2017-11-11,94,3875,2090,88,142,232,149,4,4,4,365,94
2017-11-12,37,1551,727,62,105,138,76,3,1,3,233,37
2017-11-13,52,2541,1552,59,113,160,85,3,3,3,494,52
2017-11-14,160,3609,2068,77,161,314,186,6,4,7,502,160
2017-11-15,257,3821,2149,54,91,338,263,10,7,10,94,257
2017-11-16,128,3595,1775,62,137,259,134,5,6,5,81,128
2017-11-17,120,2932,1806,54,136,252,135,3,10,3,47,120
2017-11-18,175,2867,2071,52,97,265,199,5,6,5,38,175
2017-11-19,80,1603,1157,28,60,138,101,2,2,2,30,80
2017-11-20,81,2336,1269,39,88,165,100,3,3,3,119,81
2017-11-21,129,4096,2273,64,126,251,136,2,1,2,277,129
2017-11-22,126,4265,2711,72,160,274,154,12,5,11,460,126
2017-11-23,124,2459,1133,77,148,269,139,2,3,2,115,124
2017-11-24,80,2046,909,47,105,180,96,3,3,3,53,80
2017-11-25,11,531,261,18,33,44,24,,3,,21,11
2017-11-26,36,1214,710,25,44,77,43,2,1,2,13,36
2017-11-27,19,1096,711,31,54,72,41,1,3,1,19,19
2017-11-28,3899,3791,2170,159,326,556,4032,3660,2,3661,35,3899
2017-11-29,172,3563,2219,130,251,413,218,8,22,8,46,172
2017-11-30,173,3392,2124,110,211,374,202,9,9,9,51,173
2017-12-01,65,2051,866,47,92,150,77,6,10,6,27,65
2017-12-02,110,2390,1341,84,182,278,139,11,11,11,219,110
2017-12-03,32,1836,1541,37,67,97,55,2,8,2,381,32
2017-12-04,113,2195,1079,93,200,306,144,4,9,4,383,113
2017-12-05,62,1941,743,53,135,194,64,2,6,2,117,62
2017-12-06,34,2519,1328,48,108,140,66,1,6,1,55,34
2017-12-07,53,2178,1038,51,124,169,66,6,4,6,41,53
2017-12-08,60,2417,1168,72,139,198,99,,4,,31,60
2017-12-09,37,1648,934,60,104,137,77,3,6,4,22,37
2017-12-10,3,307,168,6,10,12,8,1,6,1,11,3
2017-12-11,21,753,310,18,34,50,33,3,8,3,16,21
2017-12-12,33,1123,434,29,59,89,39,2,2,2,21,33
2017-12-13,33,1230,384,36,72,105,48,,3,,13,33
2017-12-14,58,1589,624,53,107,162,71,2,2,2,24,58
2017-12-15,48,1479,883,46,88,128,68,7,9,7,22,48
2017-12-16,36,1153,825,23,32,66,47,1,6,1,7,36
2017-12-17,21,501,247,24,45,61,32,5,3,5,25,21
2017-12-18,45,1114,500,38,76,113,58,7,5,7,82,45
2017-12-19,260,4497,2373,174,418,660,283,5,8,5,93,260
2017-12-20,430,6107,5180,262,486,900,591,15,8,15,81,430
2017-12-21,158,2093,1294,109,206,356,216,5,5,5,49,158
2017-12-22,252,3869,2341,141,201,440,321,12,6,11,25,252
2017-12-23,81,1473,1127,60,100,168,80,12,7,13,28,81
2017-12-24,13,216,117,14,34,38,20,8,5,8,6,13
2017-12-25,35,911,488,40,78,108,57,3,4,3,142,35
2017-12-26,154,4012,2207,154,265,412,229,4,4,4,309,154
2017-12-27,266,5439,3168,220,368,609,386,20,8,20,198,266
2017-12-28,180,3004,1668,67,164,316,210,24,6,24,65,180
2017-12-29,314,4592,3058,103,193,459,333,46,9,46,42,314
2017-12-30,281,2468,2093,62,93,264,307,109,10,111,25,281
2017-12-31,115,1191,879,25,58,78,122,90,6,90,92,115
2018-01-01,168,2085,1414,62,118,172,192,114,2,114,29,168
2018-01-02,299,3405,2518,47,87,295,309,91,,92,19,299
2018-01-03,135,2128,1400,41,111,182,142,62,7,62,216,135
2018-01-04,480,5970,4340,93,228,633,464,71,9,71,405,480
2018-01-05,342,5634,3887,103,211,494,380,56,5,56,507,342
2018-01-06,58,1748,1068,52,121,170,94,7,6,8,192,58
